constructorId,constructorRef,name,nationality,url,Probability,,,,,
1,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,1,,,,,
2,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,0.5,,,,,
3,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,0.5,,,,,
4,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_F1,1,,,,,
5,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,0.5,,,,,
6,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,1,,,,,
7,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,0.5,,,,,
8,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,0.5,,,,,
9,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,0.5,,,,,
10,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Force_India,0.5,,,,,
11,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,0.5,,,,,
12,spyker,Spyker,Dutch,http://en.wikipedia.org/wiki/Spyker_F1,0.5,,,,,
13,mf1,MF1,Russian,http://en.wikipedia.org/wiki/Midland_F1_Racing,0.5,,,,,
14,spyker_mf1,Spyker MF1,Dutch,http://en.wikipedia.org/wiki/Midland_F1_Racing,0.5,,,,,
15,sauber,Sauber,Swiss,http://en.wikipedia.org/wiki/Sauber,0.5,,,,,
16,bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing,0.5,,,,,
17,jordan,Jordan,Irish,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,0.5,,,,,
18,minardi,Minardi,Italian,http://en.wikipedia.org/wiki/Minardi,0.5,,,,,
19,jaguar,Jaguar,British,http://en.wikipedia.org/wiki/Jaguar_Racing,#N/A,,,,,
20,prost,Prost,French,http://en.wikipedia.org/wiki/Prost_Grand_Prix,0.5,,,,,
21,arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,0.5,,,,,
22,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula,0.5,,,,,
23,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP,1,,,,,
24,stewart,Stewart,British,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,0.5,,,,,
25,tyrrell,Tyrrell,British,http://en.wikipedia.org/wiki/Tyrrell_Racing,#N/A,,,,,
26,lola,Lola,British,http://en.wikipedia.org/wiki/MasterCard_Lola,#N/A,,,,,
27,ligier,Ligier,French,http://en.wikipedia.org/wiki/Ligier,#N/A,,,,,
28,forti,Forti,Italian,http://en.wikipedia.org/wiki/Forti,#N/A,,,,,
29,footwork,Footwork,British,http://en.wikipedia.org/wiki/Footwork_Arrows,#N/A,,,,,
30,pacific,Pacific,British,http://en.wikipedia.org/wiki/Pacific_Racing,#N/A,,,,,
31,simtek,Simtek,British,http://en.wikipedia.org/wiki/Simtek,#N/A,,,,,
